Repository;Ontology;CreationDate;Format;Filename;Done;OQUARE.xml;OQUARE.ttl;HURON_long.tsv;HURON_wide.tsv;HURON.ttl;FILE_OK;IRIOquare;IRIHuron;IRI_OK;OK;Length;URL
data.bioontology.org;PTRANS;20221010;OWL;ptrans-20221010-owl__trans.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/trans/releases/2022-10-10/trans.owl;http://purl.obolibrary.org/obo/trans/releases/2022-10-10/trans.owl;T;T;58805;https://data.bioontology.org/ontologies/PTRANS/submissions/19
data.bioontology.org;PW;20231113;OBO;pw-20231113-obo__pathway.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/pw-20231113-obo__pathway.obo;http://purl.obolibrary.org/obo/pw/7.82/pw.owl;T;T;1307486;https://data.bioontology.org/ontologies/PW/submissions/112
data.bioontology.org;QUDT2;20200115;OWL;qudt2-20200115-owl__SCHEMA-QUDT-v2.0.ttl;T;F;F;T;T;T;F;;http://qudt.org/2.0/schema/qudt;F;F;124851;https://data.bioontology.org/ontologies/QUDT2/submissions/1
data.bioontology.org;QUDT2-1;20210205;OWL;qudt2-1-20210205-owl__SCHEMA-QUDT-v2.1.ttl;T;F;F;T;T;T;F;;http://qudt.org/2.1/schema/qudt;F;F;129787;https://data.bioontology.org/ontologies/QUDT2-1/submissions/2
data.bioontology.org;RADLEX;20201120;OWL;radlex-20201120-owl__RadLex.owl;T;F;F;T;T;T;F;;http://radlex.org/RID/RadLex.owl;F;F;104264643;https://data.bioontology.org/ontologies/RADLEX/submissions/41
data.bioontology.org;RBO;20240314;OWL;rbo-20240314-owl__rbo.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/rbo/releases/2024-02-29/rbo.owl;F;F;28095471;https://data.bioontology.org/ontologies/RBO/submissions/26
data.bioontology.org;RDFS;20200507;OWL;rdfs-20200507-owl__rdf-schema.owl;T;T;T;T;T;T;T;http://www.w3.org/2000/01/rdf-schema#;http://www.w3.org/2000/01/rdf-schema#;T;T;3812;https://data.bioontology.org/ontologies/RDFS/submissions/1
data.bioontology.org;RDL;20160107;OWL;rdl-20160107-owl__RDL.owl;T;F;F;T;T;T;F;;http://posccaesar.org/rdl/;F;F;218143867;https://data.bioontology.org/ontologies/RDL/submissions/1
data.bioontology.org;REGN_BRO;20230112;OWL;regn_bro-20230112-owl__BRO-v3.2.owl;T;T;T;T;T;T;T;http://bioontology.org/ontologies/BiomedicalResources.owl;http://bioontology.org/ontologies/BiomedicalResources.owl;T;T;328029;https://data.bioontology.org/ontologies/REGN_BRO/submissions/1
data.bioontology.org;REGN_GO;20230112;OWL;regn_go-20230112-owl__go.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/go/releases/2023-01-01/go.owl;http://purl.obolibrary.org/obo/go/releases/2023-01-01/go.owl;T;T;132165503;https://data.bioontology.org/ontologies/REGN_GO/submissions/1
data.bioontology.org;ROS;20170727;OWL;ros-20170727-owl__RadiationOncologyStructures1.2.2.owl;T;T;T;T;T;T;T;urn:absolute:1.2.2;urn:absolute:1.2.2;T;T;207062;https://data.bioontology.org/ontologies/ROS/submissions/6
data.bioontology.org;RPO;20120813;OWL;rpo-20120813-owl__RPO-081112-owl.0;T;T;T;T;T;T;T;http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl;http://www.semanticweb.org/ontologies/2012/5/Ontology1338526551855.owl;T;T;1642099;https://data.bioontology.org/ontologies/RPO/submissions/2
data.bioontology.org;RS;20240422;OBO;rs-20240422-obo__rat-strain.obo;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/rs-20240422-obo__rat-strain.obo;http://purl.obolibrary.org/obo/rs/6.221/rs.owl;T;T;1083077;https://data.bioontology.org/ontologies/RS/submissions/264
data.bioontology.org;RXNORM;20240131;UMLS;rxnorm-20240131-umls__RXNORM.ttl;T;T;T;T;T;T;T;http://purl.bioontology.org/ontology/RXNORM/;http://purl.bioontology.org/ontology/RXNORM/;T;T;209414563;https://data.bioontology.org/ontologies/RXNORM/submissions/26
data.bioontology.org;SBO;20231023;OWL;sbo-20231023-owl__SBO-OWL.owl;T;T;T;T;T;T;T;http://biomodels.net/SBO/;http://biomodels.net/SBO/;T;T;582599;https://data.bioontology.org/ontologies/SBO/submissions/663
data.bioontology.org;SCHEMA;20181024;OWL;schema-20181024-owl__schemaorg-all-layers-3.4-fixes.rdf;T;F;F;T;T;T;F;;;F;F;1060556;https://data.bioontology.org/ontologies/SCHEMA/submissions/4
data.bioontology.org;SENSO;20211013;OWL;senso-20211013-owl__SENSO.ttl;T;F;F;T;T;T;F;;http://purl.dataone.org/odo/SENSO/0.1.0;F;F;7275;https://data.bioontology.org/ontologies/SENSO/submissions/1
data.bioontology.org;SEPIO;20230629;OWL;sepio-20230629-owl__sepio.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/sepio/releases/2023-06-13/sepio.owl;F;F;574859;https://data.bioontology.org/ontologies/SEPIO/submissions/7
data.bioontology.org;SIBO;20170922;OWL;sibo-20170922-owl__sibo.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/sibo/releases/2015-06-15/sibo.owl;http://purl.obolibrary.org/obo/sibo/releases/2015-06-15/sibo.owl;T;T;664028;https://data.bioontology.org/ontologies/SIBO/submissions/1
data.bioontology.org;SIMON;20210507;OWL;simon-20210507-owl__SIMONProcessed4-23-21.owl;T;F;F;T;T;T;F;;http://www.semanticweb.org/michaeldebellis/ontologies/2021/0/measurement;F;F;693186;https://data.bioontology.org/ontologies/SIMON/submissions/1
data.bioontology.org;SIO;20240325;OWL;sio-20240325-owl__sio-release.owl;T;T;T;T;T;T;T;http://semanticscience.org/ontology/sio/v1.59/sio-release.owl;http://semanticscience.org/ontology/sio/v1.59/sio-release.owl;T;T;1470936;https://data.bioontology.org/ontologies/SIO/submissions/94
data.bioontology.org;SITBAC;20110221;OWL;sitbac-20110221-owl__SitBAC1-3.owl;T;F;F;T;T;T;F;;http://www.semanticweb.org/ontologies/2008/1/Ontology1204037102846.owl;F;F;388726;https://data.bioontology.org/ontologies/SITBAC/submissions/3
data.bioontology.org;SLSO;20240403;OWL;slso-20240403-owl__slso.owl;T;F;F;T;T;T;F;;http://purl.obolibrary.org/obo/slso/releases/2024-03-26/slso.owl;F;F;1620887;https://data.bioontology.org/ontologies/SLSO/submissions/1
data.bioontology.org;SNMI;20240131;UMLS;snmi-20240131-umls__SNMI.ttl;T;F;F;T;T;T;F;;http://purl.bioontology.org/ontology/SNMI/;F;F;67539272;https://data.bioontology.org/ontologies/SNMI/submissions/23
data.bioontology.org;SO;20240411;OWL;so-20240411-owl__so.owl;T;T;T;T;T;T;T;http://purl.obolibrary.org/obo/so/2024-04-10/so.owl;http://purl.obolibrary.org/obo/so/2024-04-10/so.owl;T;T;5287726;https://data.bioontology.org/ontologies/SO/submissions/308
