ontologyAcronym,metricAcronym,result
I-ADOPT,DxP,2.4E-1
I-ADOPT,DxP,2.4E-1
I-ADOPT,INROnto,8.0E-1
I-ADOPT,LCOMOnto,1.0E0
I-ADOPT,LRClassPCT,0.0E0
I-ADOPT,LRsxC,0.0E0
I-ADOPT,LSLD,NaN
I-ADOPT,NACOnto,1.0E0
I-ADOPT,NLR,0.0E0
I-ADOPT,NLRC,0.0E0
I-ADOPT,NOCOnto,4.0E0
I-ADOPT,NOMOnto,4.4E0
I-ADOPT,NxC,1.0E0
I-ADOPT,NxDP,NaN
I-ADOPT,NxOP,1.0E0
I-ADOPT,OPWND,0.0E0
I-ADOPT,OPWNN,0.0E0
I-ADOPT,OPWNS,1.0E0
I-ADOPT,POnto,0.0E0
I-ADOPT,PROnto,8.461538E-1
I-ADOPT,RFCOnto,5.2E0
I-ADOPT,RROnto,1.538462E-1
I-ADOPT,SYSNAM,NaN
I-ADOPT,SxAP,0.0E0
I-ADOPT,SxC,0.0E0
I-ADOPT,SxC,0.0E0
I-ADOPT,SxDP,NaN
I-ADOPT,SxOP,0.0E0
I-ADOPT,TMOnto,0.0E0
I-ADOPT,TMOnto2,0.0E0
I-ADOPT,WMCOnto,1.0E0
I-ADOPT,WMCOnto2,1.0E0
IHO,APWND,6.25E-1
IHO,APWNN,5.833333E-1
IHO,APWNS,1.0E0
IHO,CWND,0.0E0
IHO,CWNN,0.0E0
IHO,CWNS,1.0E0
IHO,DPWND,1.666667E-1
IHO,DPWNN,1.666667E-1
IHO,DPWNS,1.0E0
IHO,DxAP,3.75E-1
IHO,DxAP,4.583333E-1
IHO,DxC,1.333333E0
IHO,DxDP,8.333333E-1
IHO,DxOP,6.666667E-1
IHO,DxP,5.833333E-1
IHO,DxP,5.0E-1
IHO,LRClassPCT,0.0E0
IHO,LRsxC,0.0E0
IHO,LSLD,NaN
IHO,NLR,0.0E0
IHO,NLRC,0.0E0
IHO,NxC,1.0E0
IHO,NxDP,8.333333E-1
IHO,NxOP,8.333333E-1
IHO,OPWND,3.333333E-1
IHO,OPWNN,3.333333E-1
IHO,OPWNS,1.0E0
IHO,SYSNAM,NaN
IHO,SxAP,0.0E0
IHO,SxC,0.0E0
IHO,SxC,0.0E0
IHO,SxDP,0.0E0
IHO,SxOP,0.0E0
IOC,ANOnto,9.995706E-1
IOC,ANOnto,9.99925E-1
IOC,AROnto,0.0E0
IOC,AROnto,0.0E0
IOC,CBOOnto,1.00043E0
IOC,CBOOnto,1.000075E0
IOC,CROnto,0.0E0
IOC,CROnto,0.0E0
