ontologyAcronym,metricAcronym,result
C3PO,ANOnto,0.0E0
C3PO,APWND,1.0E0
C3PO,APWNN,1.0E0
C3PO,APWNS,1.0E0
C3PO,AROnto,9.745856E0
C3PO,CBOOnto,1.0E0
C3PO,CROnto,0.0E0
C3PO,CWND,NaN
C3PO,CWNN,NaN
C3PO,CWNS,NaN
C3PO,DITOnto,3.0E0
C3PO,DPWND,NaN
C3PO,DPWNN,NaN
C3PO,DPWNS,NaN
C3PO,DxC,NaN
C3PO,DxDP,NaN
C3PO,DxOP,NaN
C3PO,DxP,0.0E0
C3PO,INROnto,1.0E0
C3PO,LCOMOnto,1.351351E0
C3PO,LRClassPCT,NaN
C3PO,LRsxC,NaN
C3PO,LSLD,NaN
C3PO,NACOnto,1.007353E0
C3PO,NLR,0.0E0
C3PO,NLRC,0.0E0
C3PO,NOCOnto,4.022222E0
C3PO,NOMOnto,0.0E0
C3PO,NxC,NaN
C3PO,NxDP,NaN
C3PO,NxOP,NaN
C3PO,NxP,0.0E0
C3PO,OPWND,NaN
C3PO,OPWNN,NaN
C3PO,OPWNS,NaN
C3PO,POnto,0.0E0
C3PO,PROnto,0.0E0
C3PO,RFCOnto,1.0E0
C3PO,RROnto,1.0E0
C3PO,SYSNAM,NaN
C3PO,SxAP,0.0E0
C3PO,SxC,NaN
C3PO,SxDP,NaN
C3PO,SxOP,NaN
C3PO,SxP,0.0E0
C3PO,TMOnto,0.0E0
C3PO,TMOnto2,0.0E0
C3PO,WMCOnto,3.676471E-1
C3PO,WMCOnto2,2.720588E-1
CASO,ANOnto,1.925926E0
CASO,APWND,1.0E0
CASO,APWNN,1.0E0
CASO,APWNS,1.0E0
CASO,AROnto,3.148148E1
CASO,CBOOnto,1.928571E0
CASO,CROnto,0.0E0
CASO,CWND,0.0E0
CASO,CWNN,0.0E0
CASO,CWNS,1.0E0
CASO,DITOnto,4.0E0
CASO,DPWND,0.0E0
CASO,DPWNN,0.0E0
CASO,DPWNS,1.0E0
CASO,DxC,1.115385E0
CASO,DxDP,1.0E0
CASO,DxOP,1.025641E0
CASO,DxP,6.666667E-1
CASO,INROnto,1.0E0
CASO,LCOMOnto,1.833333E0
CASO,LRClassPCT,3.846154E-2
CASO,LRsxC,3.846154E-2
CASO,LSLD,6.666667E-1
CASO,NACOnto,1.058824E0
CASO,NLR,1.0E0
CASO,NLRC,1.0E0
CASO,NOCOnto,2.7E0
CASO,NOMOnto,5.111111E0
CASO,NxC,1.0E0
CASO,NxDP,1.0E0
CASO,NxOP,1.0E0
CASO,NxP,6.515152E-1
CASO,OPWND,0.0E0
CASO,OPWNN,0.0E0
CASO,OPWNS,1.0E0
CASO,POnto,5.555556E-1
CASO,PROnto,8.363636E-1
CASO,RFCOnto,6.111111E0
CASO,RROnto,1.636364E-1
CASO,SYSNAM,1.0E0
CASO,SxAP,0.0E0
CASO,SxC,0.0E0
CASO,SxDP,0.0E0
CASO,SxOP,0.0E0
CASO,SxP,0.0E0
