ontologyAcronym,metricAcronym,result
AMPHX,AROnto,4.987624E0
AMPHX,CBOOnto,1.158046E0
AMPHX,CROnto,0.0E0
AMPHX,CWND,9.131514E-1
AMPHX,CWNN,0.0E0
AMPHX,CWNS,9.379653E-1
AMPHX,DITOnto,4.0E0
AMPHX,DPWND,NaN
AMPHX,DPWNN,NaN
AMPHX,DPWNS,NaN
AMPHX,DxAP,0.0E0
AMPHX,DxAP,2.0E-1
AMPHX,DxC,8.684864E-2
AMPHX,DxDP,NaN
AMPHX,DxOP,0.0E0
AMPHX,DxP,4.666667E-1
AMPHX,DxP,0.0E0
AMPHX,INROnto,9.975248E-1
AMPHX,LCOMOnto,1.916031E0
AMPHX,LRClassPCT,4.962779E-3
AMPHX,LRsxC,1.736973E-2
AMPHX,LSLD,6.099291E-1
AMPHX,NACOnto,1.0E0
AMPHX,NLR,7.0E0
AMPHX,NLRC,2.0E0
AMPHX,NOCOnto,3.663636E1
AMPHX,NOMOnto,3.507426E0
AMPHX,NxC,1.0E0
AMPHX,NxDP,NaN
AMPHX,NxOP,1.0E0
AMPHX,OPWND,1.0E0
AMPHX,OPWNN,0.0E0
AMPHX,OPWNS,1.0E0
AMPHX,POnto,8.589109E-1
AMPHX,PROnto,7.785714E-1
AMPHX,RFCOnto,4.50495E0
AMPHX,RROnto,2.214286E-1
AMPHX,SYSNAM,NaN
AMPHX,SxAP,0.0E0
AMPHX,SxC,6.203474E-2
AMPHX,SxC,0.0E0
AMPHX,SxDP,NaN
AMPHX,SxOP,0.0E0
AMPHX,TMOnto,0.0E0
AMPHX,TMOnto2,0.0E0
AMPHX,WMCOnto,1.916031E0
AMPHX,WMCOnto2,1.0E0
AO,ANOnto,9.758621E-1
AO,APWND,1.0E0
AO,APWNN,1.0E0
AO,APWNS,1.0E0
AO,AROnto,0.0E0
AO,CBOOnto,1.017606E0
AO,CROnto,0.0E0
AO,CWND,9.896194E-1
AO,CWNN,0.0E0
AO,CWNS,1.0E0
AO,DITOnto,4.0E0
AO,DPWND,NaN
AO,DPWNN,NaN
AO,DPWNS,NaN
AO,DxAP,0.0E0
AO,DxAP,0.0E0
AO,DxC,1.038062E-2
AO,DxDP,NaN
AO,DxOP,NaN
AO,DxP,0.0E0
AO,DxP,0.0E0
AO,INROnto,9.965517E-1
AO,LCOMOnto,3.0E0
AO,LRClassPCT,3.460208E-3
AO,LRsxC,3.460208E-3
AO,LSLD,0.0E0
AO,NACOnto,1.0E0
AO,NLR,1.0E0
AO,NLRC,1.0E0
AO,NOCOnto,7.810811E0
AO,NOMOnto,0.0E0
AO,NxC,1.0E0
AO,NxDP,NaN
AO,NxOP,NaN
AO,OPWND,NaN
AO,OPWNN,NaN
AO,OPWNS,NaN
AO,POnto,9.758621E-1
AO,PROnto,0.0E0
AO,RFCOnto,9.965517E-1
AO,RROnto,1.0E0
AO,SYSNAM,NaN
AO,SxAP,0.0E0
AO,SxC,0.0E0
AO,SxC,0.0E0
AO,SxDP,NaN
AO,SxOP,NaN
AO,TMOnto,0.0E0
