ontologyAcronym,metricAcronym,result
NVS_L05,INROnto,6.666667E-1
NVS_L05,LCOMOnto,1.0E0
NVS_L05,LRClassPCT,0.0E0
NVS_L05,LRsxC,0.0E0
NVS_L05,LSLD,NaN
NVS_L05,NACOnto,1.0E0
NVS_L05,NLR,0.0E0
NVS_L05,NLRC,0.0E0
NVS_L05,NOCOnto,2.0E0
NVS_L05,NOMOnto,0.0E0
NVS_L05,NxC,0.0E0
NVS_L05,NxDP,NaN
NVS_L05,NxOP,NaN
NVS_L05,NxP,0.0E0
NVS_L05,OPWND,NaN
NVS_L05,OPWNN,NaN
NVS_L05,OPWNS,NaN
NVS_L05,POnto,0.0E0
NVS_L05,PROnto,0.0E0
NVS_L05,RFCOnto,6.666667E-1
NVS_L05,RROnto,1.0E0
NVS_L05,SYSNAM,NaN
NVS_L05,SxAP,0.0E0
NVS_L05,SxC,0.0E0
NVS_L05,SxDP,NaN
NVS_L05,SxOP,NaN
NVS_L05,SxP,0.0E0
NVS_L05,TMOnto,0.0E0
NVS_L05,TMOnto2,0.0E0
NVS_L05,WMCOnto,1.0E0
NVS_L05,WMCOnto2,1.0E0
NVS_L22,ANOnto,0.0E0
NVS_L22,APWND,1.0E0
NVS_L22,APWNN,1.0E0
NVS_L22,APWNS,1.0E0
NVS_L22,AROnto,0.0E0
NVS_L22,CBOOnto,2.0E0
NVS_L22,CROnto,6.89E2
NVS_L22,CWND,1.0E0
NVS_L22,CWNN,1.0E0
NVS_L22,CWNS,1.0E0
NVS_L22,DITOnto,2.0E0
NVS_L22,DPWND,NaN
NVS_L22,DPWNN,NaN
NVS_L22,DPWNS,NaN
NVS_L22,DxC,0.0E0
NVS_L22,DxDP,NaN
NVS_L22,DxOP,NaN
NVS_L22,DxP,0.0E0
NVS_L22,INROnto,6.666667E-1
NVS_L22,LCOMOnto,1.0E0
NVS_L22,LRClassPCT,0.0E0
NVS_L22,LRsxC,0.0E0
NVS_L22,LSLD,NaN
NVS_L22,NACOnto,1.0E0
NVS_L22,NLR,0.0E0
NVS_L22,NLRC,0.0E0
NVS_L22,NOCOnto,2.0E0
NVS_L22,NOMOnto,0.0E0
NVS_L22,NxC,0.0E0
NVS_L22,NxDP,NaN
NVS_L22,NxOP,NaN
NVS_L22,NxP,0.0E0
NVS_L22,OPWND,NaN
NVS_L22,OPWNN,NaN
NVS_L22,OPWNS,NaN
NVS_L22,POnto,0.0E0
NVS_L22,PROnto,0.0E0
NVS_L22,RFCOnto,6.666667E-1
NVS_L22,RROnto,1.0E0
NVS_L22,SYSNAM,NaN
NVS_L22,SxAP,0.0E0
NVS_L22,SxC,0.0E0
NVS_L22,SxDP,NaN
NVS_L22,SxOP,NaN
NVS_L22,SxP,0.0E0
NVS_L22,TMOnto,0.0E0
NVS_L22,TMOnto2,0.0E0
NVS_L22,WMCOnto,1.0E0
NVS_L22,WMCOnto2,1.0E0
NVS_OD1,ANOnto,0.0E0
NVS_OD1,APWND,1.0E0
NVS_OD1,APWNN,1.0E0
NVS_OD1,APWNS,1.0E0
NVS_OD1,AROnto,0.0E0
NVS_OD1,CBOOnto,2.0E0
NVS_OD1,CROnto,2.433333E1
NVS_OD1,CWND,1.0E0
NVS_OD1,CWNN,1.0E0
NVS_OD1,CWNS,1.0E0
NVS_OD1,DITOnto,2.0E0
NVS_OD1,DPWND,NaN
NVS_OD1,DPWNN,NaN
NVS_OD1,DPWNS,NaN
NVS_OD1,DxC,0.0E0
NVS_OD1,DxDP,NaN
NVS_OD1,DxOP,NaN
NVS_OD1,DxP,0.0E0
NVS_OD1,INROnto,6.666667E-1
NVS_OD1,LCOMOnto,1.0E0
NVS_OD1,LRClassPCT,0.0E0
NVS_OD1,LRsxC,0.0E0
NVS_OD1,LSLD,NaN
NVS_OD1,NACOnto,1.0E0
NVS_OD1,NLR,0.0E0
NVS_OD1,NLRC,0.0E0
NVS_OD1,NOCOnto,2.0E0
NVS_OD1,NOMOnto,0.0E0
NVS_OD1,NxC,0.0E0
NVS_OD1,NxDP,NaN
NVS_OD1,NxOP,NaN
NVS_OD1,NxP,0.0E0
NVS_OD1,OPWND,NaN
NVS_OD1,OPWNN,NaN
NVS_OD1,OPWNS,NaN
NVS_OD1,POnto,0.0E0
NVS_OD1,PROnto,0.0E0
NVS_OD1,RFCOnto,6.666667E-1
NVS_OD1,RROnto,1.0E0
NVS_OD1,SYSNAM,NaN
NVS_OD1,SxAP,0.0E0
NVS_OD1,SxC,0.0E0
NVS_OD1,SxDP,NaN
NVS_OD1,SxOP,NaN
NVS_OD1,SxP,0.0E0
NVS_OD1,TMOnto,0.0E0
NVS_OD1,TMOnto2,0.0E0
NVS_OD1,WMCOnto,1.0E0
NVS_OD1,WMCOnto2,1.0E0
NVS_P02,ANOnto,0.0E0
NVS_P02,APWND,1.0E0
NVS_P02,APWNN,1.0E0
NVS_P02,APWNS,1.0E0
NVS_P02,AROnto,0.0E0
NVS_P02,CBOOnto,2.0E0
NVS_P02,CROnto,1.773333E2
NVS_P02,CWND,1.0E0
NVS_P02,CWNN,1.0E0
NVS_P02,CWNS,1.0E0
NVS_P02,DITOnto,2.0E0
NVS_P02,DPWND,NaN
NVS_P02,DPWNN,NaN
NVS_P02,DPWNS,NaN
NVS_P02,DxC,0.0E0
NVS_P02,DxDP,NaN
NVS_P02,DxOP,NaN
NVS_P02,DxP,0.0E0
NVS_P02,INROnto,6.666667E-1
NVS_P02,LCOMOnto,1.0E0
NVS_P02,LRClassPCT,0.0E0
NVS_P02,LRsxC,0.0E0
NVS_P02,LSLD,NaN
NVS_P02,NACOnto,1.0E0
NVS_P02,NLR,0.0E0
NVS_P02,NLRC,0.0E0
NVS_P02,NOCOnto,2.0E0
NVS_P02,NOMOnto,0.0E0
NVS_P02,NxC,0.0E0
NVS_P02,NxDP,NaN
NVS_P02,NxOP,NaN
NVS_P02,NxP,0.0E0
NVS_P02,OPWND,NaN
NVS_P02,OPWNN,NaN
NVS_P02,OPWNS,NaN
NVS_P02,POnto,0.0E0
NVS_P02,PROnto,0.0E0
NVS_P02,RFCOnto,6.666667E-1
NVS_P02,RROnto,1.0E0
NVS_P02,SYSNAM,NaN
NVS_P02,SxAP,0.0E0
NVS_P02,SxC,0.0E0
NVS_P02,SxDP,NaN
NVS_P02,SxOP,NaN
NVS_P02,SxP,0.0E0
NVS_P02,TMOnto,0.0E0
NVS_P02,TMOnto2,0.0E0
NVS_P02,WMCOnto,1.0E0
NVS_P02,WMCOnto2,1.0E0
NVS_P06,ANOnto,0.0E0
NVS_P06,APWND,1.0E0
NVS_P06,APWNN,1.0E0
NVS_P06,APWNS,1.0E0
NVS_P06,AROnto,0.0E0
NVS_P06,CBOOnto,2.0E0
NVS_P06,CROnto,2.546667E2
NVS_P06,CWND,1.0E0
NVS_P06,CWNN,1.0E0
NVS_P06,CWNS,1.0E0
NVS_P06,DITOnto,2.0E0
NVS_P06,DPWND,NaN
NVS_P06,DPWNN,NaN
NVS_P06,DPWNS,NaN
NVS_P06,DxC,0.0E0
NVS_P06,DxDP,NaN
NVS_P06,DxOP,NaN
NVS_P06,DxP,0.0E0
NVS_P06,INROnto,6.666667E-1
NVS_P06,LCOMOnto,1.0E0
NVS_P06,LRClassPCT,0.0E0
NVS_P06,LRsxC,0.0E0
NVS_P06,LSLD,NaN
NVS_P06,NACOnto,1.0E0
NVS_P06,NLR,0.0E0
NVS_P06,NLRC,0.0E0
NVS_P06,NOCOnto,2.0E0
NVS_P06,NOMOnto,0.0E0
NVS_P06,NxC,0.0E0
NVS_P06,NxDP,NaN
NVS_P06,NxOP,NaN
NVS_P06,NxP,0.0E0
NVS_P06,OPWND,NaN
NVS_P06,OPWNN,NaN
NVS_P06,OPWNS,NaN
NVS_P06,POnto,0.0E0
NVS_P06,PROnto,0.0E0
NVS_P06,RFCOnto,6.666667E-1
NVS_P06,RROnto,1.0E0
NVS_P06,SYSNAM,NaN
NVS_P06,SxAP,0.0E0
NVS_P06,SxC,0.0E0
NVS_P06,SxDP,NaN
NVS_P06,SxOP,NaN
NVS_P06,SxP,0.0E0
NVS_P06,TMOnto,0.0E0
NVS_P06,TMOnto2,0.0E0
NVS_P06,WMCOnto,1.0E0
NVS_P06,WMCOnto2,1.0E0
NVS_P07,ANOnto,0.0E0
NVS_P07,APWND,1.0E0
NVS_P07,APWNN,1.0E0
NVS_P07,APWNS,1.0E0
NVS_P07,AROnto,0.0E0
NVS_P07,CBOOnto,3.0E0
NVS_P07,CROnto,3.9585E3
NVS_P07,CWND,1.0E0
NVS_P07,CWNN,1.0E0
NVS_P07,CWNS,1.0E0
NVS_P07,DITOnto,2.0E0
NVS_P07,DPWND,NaN
NVS_P07,DPWNN,NaN
NVS_P07,DPWNS,NaN
NVS_P07,DxC,0.0E0
NVS_P07,DxDP,NaN
NVS_P07,DxOP,NaN
NVS_P07,DxP,0.0E0
NVS_P07,INROnto,7.5E-1
NVS_P07,LCOMOnto,1.0E0
NVS_P07,LRClassPCT,0.0E0
NVS_P07,LRsxC,0.0E0
NVS_P07,LSLD,NaN
NVS_P07,NACOnto,1.0E0
NVS_P07,NLR,0.0E0
NVS_P07,NLRC,0.0E0
NVS_P07,NOCOnto,3.0E0
NVS_P07,NOMOnto,0.0E0
NVS_P07,NxC,0.0E0
NVS_P07,NxDP,NaN
NVS_P07,NxOP,NaN
NVS_P07,NxP,0.0E0
NVS_P07,OPWND,NaN
NVS_P07,OPWNN,NaN
NVS_P07,OPWNS,NaN
NVS_P07,POnto,0.0E0
NVS_P07,PROnto,0.0E0
NVS_P07,RFCOnto,7.5E-1
NVS_P07,RROnto,1.0E0
NVS_P07,SYSNAM,NaN
NVS_P07,SxAP,0.0E0
NVS_P07,SxC,0.0E0
NVS_P07,SxDP,NaN
NVS_P07,SxOP,NaN
NVS_P07,SxP,0.0E0
NVS_P07,TMOnto,0.0E0
NVS_P07,TMOnto2,0.0E0
NVS_P07,WMCOnto,1.0E0
NVS_P07,WMCOnto2,1.0E0
NVS_R,ANOnto,0.0E0
NVS_R,APWND,1.0E0
NVS_R,APWNN,1.0E0
NVS_R,APWNS,1.0E0
NVS_R,AROnto,0.0E0
NVS_R,CBOOnto,3.0E0
NVS_R,CROnto,5.045E2
NVS_R,CWND,1.0E0
NVS_R,CWNN,1.0E0
NVS_R,CWNS,1.0E0
NVS_R,DITOnto,2.0E0
NVS_R,DPWND,NaN
NVS_R,DPWNN,NaN
NVS_R,DPWNS,NaN
NVS_R,DxC,0.0E0
NVS_R,DxDP,NaN
NVS_R,DxOP,NaN
NVS_R,DxP,0.0E0
NVS_R,INROnto,7.5E-1
NVS_R,LCOMOnto,1.0E0
NVS_R,LRClassPCT,0.0E0
NVS_R,LRsxC,0.0E0
NVS_R,LSLD,NaN
NVS_R,NACOnto,1.0E0
NVS_R,NLR,0.0E0
NVS_R,NLRC,0.0E0
NVS_R,NOCOnto,3.0E0
NVS_R,NOMOnto,0.0E0
NVS_R,NxC,0.0E0
NVS_R,NxDP,NaN
NVS_R,NxOP,NaN
NVS_R,NxP,0.0E0
NVS_R,OPWND,NaN
NVS_R,OPWNN,NaN
NVS_R,OPWNS,NaN
NVS_R,POnto,0.0E0
NVS_R,PROnto,0.0E0
NVS_R,RFCOnto,7.5E-1
NVS_R,RROnto,1.0E0
NVS_R,SYSNAM,NaN
NVS_R,SxAP,0.0E0
NVS_R,SxC,0.0E0
NVS_R,SxDP,NaN
NVS_R,SxOP,NaN
NVS_R,SxP,0.0E0
NVS_R,TMOnto,0.0E0
NVS_R,TMOnto2,0.0E0
NVS_R,WMCOnto,1.0E0
NVS_R,WMCOnto2,1.0E0
SDNDEV,ANOnto,0.0E0
SDNDEV,APWND,1.0E0
SDNDEV,APWNN,1.0E0
SDNDEV,APWNS,1.0E0
SDNDEV,AROnto,0.0E0
SDNDEV,CBOOnto,2.0E0
SDNDEV,CROnto,7.526667E2
SDNDEV,CWND,1.0E0
SDNDEV,CWNN,1.0E0
SDNDEV,CWNS,1.0E0
SDNDEV,DITOnto,2.0E0
SDNDEV,DPWND,NaN
SDNDEV,DPWNN,NaN
SDNDEV,DPWNS,NaN
SDNDEV,DxC,0.0E0
SDNDEV,DxDP,NaN
SDNDEV,DxOP,NaN
SDNDEV,DxP,0.0E0
SDNDEV,INROnto,6.666667E-1
SDNDEV,LCOMOnto,1.0E0
SDNDEV,LRClassPCT,0.0E0
SDNDEV,LRsxC,0.0E0
SDNDEV,LSLD,NaN
SDNDEV,NACOnto,1.0E0
SDNDEV,NLR,0.0E0
SDNDEV,NLRC,0.0E0
SDNDEV,NOCOnto,2.0E0
SDNDEV,NOMOnto,0.0E0
SDNDEV,NxC,0.0E0
SDNDEV,NxDP,NaN
SDNDEV,NxOP,NaN
SDNDEV,NxP,0.0E0
SDNDEV,OPWND,NaN
SDNDEV,OPWNN,NaN
SDNDEV,OPWNS,NaN
