"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"BIRNLEX",0.9810109,1,1,1,8.997487,1.001959,0,1,0.002234637,1,42,0,0,0.9997207,12.37468,0,0.0005586592,1,2,0,2.936833,0.002513264,0.9977654,0,0.9974867,0.002507662,1.002234,0.9974923,0,0,0,0,0,12.37468,1
"BMS-LM",0.5194805,0.5,0.45,1,31.83766,1.066225,0,0.125,0.046875,0.453125,7,0.96875,0.8452381,1.045455,5.140845,0,0.171875,1.07,11,0,2.981481,1.811688,1.546875,1.178571,0.2532468,0.6340909,2.857143,0.3659091,0,0.578125,0.1428571,0,0,3.65,0.71
"BRAIN-COF",0.6111111,1,1,1,3,1.008065,0,0.016,1,1,6,0.984,0.5,0.9920635,4.663366,0,0,1,0,0,5,0.4761905,0,0,0.9761905,0.3243243,1.468254,0.6756757,0,0,0,0,0,4.663366,1
"BSPO",1.146199,0.8615385,0.6923077,1,85.12281,1.993939,0.1052632,0.1964286,0.005952381,0.577381,10,0.9585799,0.7435897,1.269006,7.645161,0,0.01775148,1.25,3,0,3.677966,6.076023,0.9940828,0.8888889,1.233918,0.8272293,8,0.1727707,0,0.7514793,0.2350427,0.2117647,2.333333,14.8125,1.9375
"BTO",1.014466,1,0.5,1,18.99711,1.593126,0.0001522765,0.1614191,0,0.5046844,9,0.8496391,0,1.044617,2.668753,0,0.0001535862,1.036846,1,0,7.228662,0.4668799,1,0.625,0.7003198,0.3088858,1.511497,0.6911142,0,0.9474735,0,0.04279622,2.046263,3.111962,1.166073
"CAO",1.634146,0.8222222,0.7555556,1,44.63902,1.117647,0.1853659,0.6421569,0,0.9411765,12,0.6617647,0.326087,1.112195,8.233918,0.01470588,0.2745098,1.163265,56,3,3.931034,1.273171,1.112745,0.6086957,0.9902439,0.5337423,2.385366,0.4662577,0,0.3627451,0.01086957,0,0,9.578231,1.163265
"CARO",1.063712,0.9596774,0.7983871,1,78.28947,1.771955,0,0.1036415,0.007002801,0.2773109,21,1.001399,0.5602837,1.390582,11.87959,0.002797203,0.002797203,1.384615,2,2,2.113684,2.238227,0.9916084,0.8262411,1.367036,0.6167939,3.970914,0.3832061,0,2.909091,0.2553191,0.3051318,2.277273,70.7004,5.951417
"CBO",0.9716599,1,1,1,40.83401,1.004082,0,0,0.02439024,1,7,1.004065,0.2266667,0.9959514,4.005556,0,0,1,0,0,3.671642,0.3967611,0.9756098,0.5333333,0.9878543,0.2848837,1.392713,0.7151163,0,0,0,0,0,4.005556,1
"CCF",1.03551,0.5769231,0.3974359,0.982906,14,1.033117,0.7526174,0.5113366,0.0005398402,0.5657525,20,0.5330382,0.51417,1.030329,7.051823,0.000107968,0.0002159361,1.028902,2,1,6.765415,0.5037237,1.475167,0.6842105,1.027955,0.3283614,1.534053,0.6716386,0.02564103,1.643058,0.04048583,0.02731002,2.114625,7.709957,1.093328
"CDAO",0.830303,1,1,1,24.81212,1.190476,0.04848485,0.8396947,0,1,10,0.1984733,0.4444444,1.060606,3.7,0,0,1.100917,0,0,3.125,2.527273,1,0.8666667,0.7393939,0.7043919,3.587879,0.2956081,0,0,0,0.0304878,2,4.073394,1.100917
"CDNO",1.324272,0.9583333,0.9166667,1,151.2767,1.060353,0.02572816,0.08141246,0,0.08288377,12,0.9215302,0.6450382,1.049029,6.83777,0.000980873,0.004904365,1.047769,10,2,4.607676,2.363107,1.335459,0.8435115,1.03835,0.6925594,3.412136,0.3074406,0,3.294262,0.2557252,0.04565323,2.085106,8.556882,1.251414
"CEPH",0.2363057,0.9655172,0.3448276,1,8.878981,1.123639,0.01528662,0.1970443,0,0.6847291,9,0.8891626,0.1666667,1.117197,5.899417,0,0,1.117267,0,0,3.601643,0.1643312,1,0.8333333,0.2299363,0.1282306,1.281529,0.8717694,0,0.7660099,0.08333333,0.01912046,2.233333,3.736842,0.6334257
"CHEBI",0.9999801,0.9189189,0.5945946,1,11.99994,1.368197,4.984896e-06,0.7318786,0,0.250364,31,0.2681214,0.06382979,1.367706,13.10527,0,0,1.359142,0,0,20.96508,0.4602255,1,0.5319149,1.386594,0.251774,1.827931,0.748226,0,1.918324,0,0.2464096,2.570391,221.5371,16.90443
