"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"ISPO",0.9996824,1,0.3333333,1,0,1,0,1,0,0.000317662,12,0,0,0.9996824,5.763932,0.000317662,0.000635324,1,2,1,3.618391,0,1,0.6666667,0.9993649,0,0.9996824,1,0,6.262071,0,0,0,5.763932,1
"ISSVA",1.123711,1,0.9,1,0.5309278,1.141361,0.0257732,0.8704663,0,0.6321244,9,0.1398964,0,1.123711,4.347368,0,0.005181347,1.15,1,0,6.411765,0.3195876,1.010363,0.1904762,0.9845361,0.2214286,1.443299,0.7785714,0,0.4196891,0,0.005181347,2,5.1625,1.1875
"MCO",1.004728,0.6956522,0.4565217,0.826087,13.97872,1.28149,0,0.4750222,0,0.3171741,30,0.5279338,0.3611111,1.280733,18.39853,0.001477978,0.002069169,1.19115,7,5,2.566015,0.7254728,1.002069,0.7685185,1.280733,0.3616144,2.006206,0.6383856,0.2173913,4.840083,0.1851852,0.2385457,2.178439,229.7156,12.48555
"MCRO",0.04371002,0.4666667,0.6,1,19.18763,1.070588,0.003198294,0.06779661,0.03389831,0.8644068,9,1.016949,0.969697,1.067164,6.780804,0,0.05084746,1.080977,3,0,6.25625,0.1257996,1.050847,0.7272727,0.04477612,0.1054513,1.192964,0.8945487,0,0.2033898,0.06060606,0.001067236,2,6.719794,0.9910026
"MEDLINEPLUS",0,0.625,0.625,1,13.97668,2.552301,1.203256,0.5487428,0.0004411116,0.7419497,9,0.4512572,1,1.341839,2.402035,0,0,1.355342,0,0,33.15217,10.1905,0.9995589,0.7619048,0.8988121,0.8836455,11.53234,0.1163545,0,0.4177327,0,0.2728873,2.377419,3.3558,1.397066
"MEDO",1.047619,1,0.375,1,4.940476,1.1,0,0.8915663,0,1,7,0.1084337,0,1.047619,4.421875,0,0.06024096,1.084746,5,0,3.52,0.0952381,1,0.75,1,0.08333333,1.142857,0.9166667,0,0,0,0.06024096,2,4.79661,1.084746
"MFMO",0.8970588,0.5555556,0.4444444,1,337.6066,1.825279,0.1029412,0.1542056,0.004672897,0.8785047,10,1.130841,0.3846154,1.025735,6.802528,0,0.004672897,1.009434,1,0,4.65,0.8419118,1.004673,0.8974359,0.6764706,0.4507874,2.647059,0.5492126,0,0.1728972,0.05128205,0.01107011,2,20.31132,2.985849
"MFOMD",0,1,1,1,0.6063709,1.040956,0,0.1538462,0.07692308,0.8461538,5,1.076923,0,1.040956,3.428571,0,0,1.049442,0,0,3.630952,0.01251422,0.9230769,0,0.006825939,0.01187905,1.05347,0.988121,0,0.1538462,0,0,0,0.07655502,0.02232855
"MHCRO",1.000019,0.6956522,0.5217391,1,21,1.090378,0,0.9991238,0,0.4554199,10,0.0008956909,0.5813953,1.08955,6.817013,1.947154e-05,7.788617e-05,1.090406,4,1,50.12713,1.103425,1,0.7209302,1.08957,0.5031633,2.192975,0.4968367,0,2.241798,0,0.08943548,2.001741,7.445925,1.092256
"MI",1.014076,0.9333333,0.3555556,1,0,1.246735,0.0006119951,0.0006872852,0,0.337457,13,1.037113,0.06666667,1.110159,5.086275,0,0,1.119142,0,0,4.837333,0,1,0.6444444,1.005508,0,1.110159,1,0,1.06323,0,0.09859155,2.173913,6.181096,1.21525
"MIAPA",0.1810345,0.3636364,0.5454545,1,13.83621,1.151111,0.04741379,0.7592593,0.03703704,1,10,0.2962963,0.7878788,1.116379,3.95,0,0.01851852,1.133333,1,0,3.158537,0.2155172,0.962963,0.6969697,0.1724138,0.1618123,1.331897,0.8381877,0,0,0,0.01298701,2,5.266667,1.333333
"MIO",1.035622,1,0.4545455,1,0.8571891,1.16035,1.131477,0.9624231,0,1,21,0.03757694,0,1.159974,7.14271,0,0,1.137578,0,0,4.254157,0.6654793,1,0.44,1.162889,0.3645556,1.825453,0.6354444,0,0,0,0.1496599,2.093074,12.32324,1.725289
"MMO",1.009401,1,0.48,1,0.9988249,1.162901,0.001175088,0.08204518,0,0.5410226,13,0.9357907,0,1.149236,6.495935,0,0.007134364,1.171908,6,0,2.614973,0.001175088,1,0.5384615,1.139835,0.00102145,1.150411,0.9989785,0,0.843044,0,0.1458824,2.048387,10.05031,1.54717
"MMUSDV",1.385965,0.7352941,0.3529412,1,2.973684,1.036697,0,0.00952381,0,0.6,3,1.390476,0.4864865,0.9912281,1.964286,0,0.05714286,1,6,0,56.5,1.780702,1,0.6756757,0.9473684,0.6424051,2.77193,0.3575949,0,1.028571,0,0,0,1.964286,1
"MONDO",0.8517995,0.6185567,0.6804124,1,58.99826,1.905608,2.945161e-05,0.4325846,0.1965812,0.349566,19,0.5884847,0.2878788,1.360988,8.129249,0,6.625588e-05,1.279581,2,0,7.246511,0.6549449,0.8166037,0.4621212,1.07519,0.3248842,2.015933,0.6751158,0,3.617207,0,0.2600654,2.388222,38.35283,4.717881
"MOP",1.13968,1,0.5172414,1,10.99702,1.019247,0,0.01428964,0,0.8235779,14,1.900797,0.05,1.005424,8.410324,0,0,1.004419,0,0,4.975839,0.04719284,1,0.625,0.9924057,0.04483381,1.052617,0.9551662,0,0.1989558,0,0.006239826,2,8.639021,1.027192
"MP",1.021119,0.8717949,0.6666667,1,1.999862,1.320886,6.878998e-05,0.0004969473,0,0.2809172,17,1.028184,0.1219512,1.279906,8.804813,0,0.0003549624,1.268867,5,0,3.28786,0.00013758,1,0.3658537,1.248882,0.0001074807,1.280044,0.9998925,0,2.064035,0,0.2643781,2.059068,29.55136,3.356274
"MPATH",1.122334,1,0.55,1,2.996633,1.178359,0.001122334,0.09631391,0,0.7764566,11,1.003567,0,1.112233,6.484994,0,0,1.130952,0,0,4.525114,0.006734007,1,0.5,1.061728,0.006018054,1.118967,0.9939819,0,0.3983353,0,0.1067416,2.115789,8.03869,1.239583
"MPIO",0.8653846,0.7555556,0.4444444,1,11.03846,1.186047,0,0.1538462,0,0.8461538,6,0.974359,0.3965517,0.9807692,3.257143,0.02564103,0.2051282,1,8,1,3,1.173077,1,0.9482759,0.5769231,0.5446429,2.153846,0.4553571,0,0.2051282,0.1551724,0,0,3.257143,1
"MSTDE",0,0.625,0.625,1,31.90448,13.9771,0.9967249,1,0,0.8707558,9,0,1,0.9994541,1.188235,0,0,1,0,0,38.95745,7.731987,1,0.8717949,0.06823144,0.8855339,8.731441,0.1144661,0,0.1347207,0,0,0,1.188235,1
"MSTDE-FRE",0,0.7142857,0.7142857,1,2.999454,13.98473,0.9967267,1,0,0.9272031,9,0,1,0.9994544,1.18813,0,0,1,0,0,38.97872,1.925259,1,0.4444444,0.06819422,0.6582727,2.924714,0.3417273,0,0.07279693,0,0,0,1.18813,1
"NANDO",2.335853,1,1,1,2,1.000721,0.8833693,1,0,0.3912572,8,0,0.05555556,0.99964,5.258653,0,0.001445087,1,4,0,4.339062,0.8840893,3.998194,0.2222222,0.9992801,0.4693293,1.883729,0.5306707,0,1.057442,0,0,0,5.258653,1
"NCIT",0.9992561,0.122449,0.04761905,0.1496599,12.00175,1.152459,0,0.1822605,0,0,25,0.8177395,0.9262295,1.152346,10.08807,0,0,1.130042,0,0,6.386488,3.175222,2,1.938525,0.975218,0.7337197,4.327569,0.2662803,1.061224,3.794565,1.036885,0.07880433,2.132984,40.18537,3.983457
"NEOMARK4",0.8,0.7837838,0.7297297,1,26.48,1.04321,0,0.9012346,0.2777778,0.8333333,15,0.1450617,0.328125,1.04,9.829201,0,0.02160494,1.041322,7,0,4.072289,0.2953846,0.7222222,0.59375,1.033846,0.2211982,1.335385,0.7788018,0,0.8395062,0.015625,0.02777778,2.333333,14.7438,1.5
"NEUROBRG",1.581709,0.2857143,1,1,44.57421,1.007564,0.005997001,0.8768769,0.01951952,1,11,0.1306306,0.5942029,0.9985007,6.230444,0,0.001501502,1,1,0,3.43299,0.2263868,1.490991,0.4347826,0.9895052,0.1848225,1.224888,0.8151775,0,0,0,0,0,6.230444,1
"NGBO",1.029703,0.8166667,0.725,0.9916667,77.96898,1.029062,0.001320132,0.2562748,0,0.8645971,17,0.8335535,0.547619,1.028383,7.976888,0,0.001321004,1.024476,2,0,4.199461,0.3966997,1.009247,0.8134921,1.050825,0.2783696,1.425083,0.7216304,0.008333333,0.1875826,0.1507937,0.05019815,2.026316,9.050699,1.134615
"NIDM-RESULTS",1.142857,0.5882353,0.75,1,38.96273,1.114865,0.2360248,0.1447368,0.03947368,0.9802632,6,0.9144737,0.747619,1.024845,2.80315,0.006578947,0.006578947,1.040984,1,1,4.230769,3.403727,1.026316,0.7095238,0.9440994,0.7685835,4.428571,0.2314165,0,0.01973684,0,0.03125,2,2.918033,1.040984
"NIST_GEL",0.9811321,1,1,1,8.830189,1,0,0.1923077,0,0.5769231,6,0.8076923,0,0.9811321,4.309524,0.07692308,0.1730769,1,9,4,4.727273,1.754717,1,0.5714286,0.9622642,0.6413793,2.735849,0.3586207,0,0.4807692,0,0,0,4.309524,1
"NPO",1.058824,0.4615385,0.4615385,1,57.29254,1.160358,0,0.9348397,0,1,18,0.07304256,0.5319149,1.159139,11.21634,0,0,1.188006,0,0,3.29403,1.03834,1,0.2021277,1.240021,0.4725143,2.197479,0.5274857,0,0,0,0.1518655,2.584775,24.36872,2.172609
"OA",1.615385,0.625,0.625,1,18.26923,1.666667,0.6538462,0.16,0.16,1,3,0.84,0.7142857,0.9615385,1.736842,0,0,1,0,0,3.571429,0.7307692,0.84,0.7142857,0.5384615,0.4318182,1.692308,0.5681818,0,0,0,0,0,1.736842,1
"OARCS",0.9967638,1,0.6428571,1,5.980583,1.013115,1.045307,0.003246753,0,0.7727273,10,0.9967532,0,1,6.160494,0.006493506,0.00974026,1,3,2,4.544118,1.912621,1,0.55,0.9902913,0.6566667,2.912621,0.3433333,0,0.2987013,0,0.006493506,2,6.211618,1.008299
"OBCS",1.023947,0.4245283,0.3584906,0.9811321,46.14451,1.086777,0.01981833,0.03305785,0,0.6859504,13,1.001653,0.7919075,1.085879,7.754986,0,0.0008264463,1.08343,1,0,3.778736,0.8959538,1,0.7803468,1.085879,0.4520833,1.981833,0.5479167,0.02830189,0.5231405,0.2543353,0.07768595,2.117021,9.462341,1.220162
"OBI",1.006745,0.3055556,0.1944444,1,54.24975,1.134154,0.06070224,0.03230365,0.0004037957,0.7028064,19,0.9767817,0.9551282,1.133704,8.055881,0.0002018978,0.0006056935,1.149555,3,1,4.672935,1.814719,1.001211,1.038462,1.133704,0.6154881,2.948423,0.3845119,0,0.3718958,0.2692308,0.1293651,2.035276,10.08146,1.251441
"OBIB",1.024945,0.4683544,0.3797468,1,68.10255,1.014517,0.1252772,0.06037059,0.007172744,0.7196653,17,0.9808727,0.8154762,1.007206,6.380054,0.0005977286,0.001195457,1.007534,2,1,5.281977,0.6629712,0.9928273,0.8214286,1.007206,0.3969466,1.670177,0.6030534,0,0.4931261,0.2261905,0.007764836,2,6.484932,1.016438
"OBOREL",1.305085,0.5182482,0.3357664,0.9781022,290.8644,1.75,0.5932203,0.1785714,0.03571429,0.6964286,9,1.122807,0.8992443,1,4.166667,0,0.01754386,1.03125,1,0,2.185185,55.11864,1.052632,0.9735516,0.8813559,0.9821806,56.66102,0.01781939,0.02919708,0.6842105,0.3828715,0.03448276,2,4.6875,1.125
"OCCO",0.9994347,0.4659091,0.3863636,0.9886364,3,1.522059,0.01074053,0.3478507,0,0.08540724,12,0.6521493,0.5934066,1.521198,8.949831,0,0.001696833,1.802609,3,0,4.347334,5.647824,1,0.6373626,0.9994347,0.7878095,7.169022,0.2121905,0.01136364,0.9179864,0.01098901,0,0,16.13304,1.802609
"OCIMIDO",1.451662,1,1,1,8.986405,1.074924,0,0.5446293,0,1,18,0.4553707,0.5416667,1.061934,5.698819,0,0,1.07064,0,0,3.363636,1.453172,1,0.375,1.042296,0.5777778,2.515106,0.4222222,0,0,0,0.03933434,2.423077,6.390728,1.121413
"ODNAE",1.074434,0.6024096,0.4337349,0.9879518,87.72362,1.349093,0.006472492,0.630829,0,0.6178756,24,0.3801813,0.5813953,1.34822,13.55141,0.0006476684,0.002590674,1.288344,4,1,2.853425,0.7579288,1.066062,1.145349,1.458252,0.3598648,2.106149,0.6401352,0.02409639,1.998705,0.1627907,0.371114,2.239092,57.08221,4.21227
"OGG-MM",1.281202,0.5769231,0.3269231,1,43.98917,1.999467,0,0.0004176748,0,0.5171823,11,1.287961,0.5488722,0.9999712,9.193668,0,0,1,0,0,1876.541,0.007618746,0.9999856,0.8796992,0.9999568,0.007561356,2.007057,0.9924386,0,1.081805,0.007518797,0,0,9.193668,1
"OHMI",1.080976,0.5128205,0.2179487,1,63.25659,1.03418,0.01170732,0.3535156,0,0.8457031,19,0.890625,0.7922705,1.033171,10.78184,0.001953125,0.01953125,1.028846,20,2,2.640898,3.386341,1.007812,1.072464,1.033171,0.7662252,4.419512,0.2337748,0,0.3818359,0.236715,0.03222656,2.060606,15.60256,1.447115
"OMO",0.9411765,0.5178571,0.4107143,1,0,1.178571,0.5294118,0.2857143,0.03571429,0.7142857,10,0.7142857,0.5714286,0.9705882,5.363636,0.07142857,0.2142857,1,6,2,2.75,0,0.9642857,0.5892857,0.9705882,0,0.9705882,1,0,0.3214286,0,0,0,5.363636,1
"OMP",1.0329,0.6,0.6142857,1,55.38139,1.242115,0,0.08865248,0,0.7903369,11,1.042553,0.4883721,1.21039,7.078676,0.0004432624,0.003546099,1.175087,8,1,2.406196,0.1584416,1,0.6666667,1.184848,0.1157495,1.368831,0.8842505,0,0.3922872,0.01550388,0.2013859,2.047312,25.15767,3.554007
"OMRSE",1.16293,0.536,0.472,1,72.79671,1.757121,0.03139013,0.1979346,0.00172117,0.8209983,13,1.012027,0.762215,1.011958,6.311195,0.003436426,0.003436426,1.006061,2,2,3.890805,2.275037,0.9982818,0.8729642,0.9970105,0.6921328,4.026906,0.3078672,0,0.3900344,0.2508143,0.01497006,2,6.719192,1.064646
"OMV",1.875,1,1,1,11.4375,5,3.125,0,0,1,3,1,0.453125,0.9375,1.142857,0,0,1,0,0,7.5,23.75,1,0.96875,0.875,0.9620253,24.6875,0.03797468,0,0,0,0,0,1.142857,1
"ONL-DP",0,1,1,1,56.72458,1.184843,0,0.1290323,0.9919355,1,13,0.8709677,0,1.184843,8.252918,0,0,1.183432,0,0,3.157635,0.1182994,0.01612903,0.6666667,0.1663586,0.09078014,1.303142,0.9092199,0,0,0,0.005555556,2.333333,18.82544,2.281065
"ONL-MR-DA",0,1,1,1,59.97151,1.156695,0.05128205,0.3816425,0.942029,1,15,0.6183575,0,1.156695,8.294566,0,0,1.142857,0,0,3.287449,0.2407407,0.115942,0.8421053,0.2706553,0.1722732,1.397436,0.8277268,0,0,0,0.0128388,2.111111,19.12308,2.305495
"ONLIRA",0.7678571,1,1,1,10.67857,1.170213,0,1,0.2181818,1,5,0,0,0.9821429,2.47619,0.03636364,0.07272727,1,4,2,3.928571,4.892857,0.7818182,0.5689655,0.8571429,0.8328267,5.875,0.1671733,0,0,0,0,0,2.47619,1
"ONTOKBCF",0.6332518,1,1,1,34.00978,1.336609,0,0.4068627,1,1,11,0.6421569,0.02631579,1.330073,5.976562,0,0,1.537815,0,0,3.181287,0.6454768,0,0,1.08313,0.3267327,1.97555,0.6732673,0,0,0,0.1960784,2.25,9.642857,1.613445
"OOSTT",0.6312336,0.5918367,0.3673469,1,30.08268,1.003947,0.002624672,0.02054795,0.002283105,0.8173516,14,1.123288,0.6296296,1.001312,6.425569,0,0.006849315,1.001764,3,0,3.912821,0.4908136,1.002283,1.012346,0.5787402,0.3289358,1.492126,0.6710642,0,0.4748858,0.1851852,0.00131406,2,6.470899,1.007055
"ORDO",1.000326,1,0.7142857,1,13.99909,1.048808,0,1,0,1,14,0,0,1.048534,4.282672,0,6.515082e-05,1.031204,1,0,15.22706,1.906059,1.000391,0.5714286,1.603713,0.6451172,2.954593,0.3548828,0,0,0,0.5554108,2.087625,4.853775,1.133352
"ORNASEQ",0.9939024,0.6153846,0.4615385,1,8,1.006173,0.006097561,0.1656442,0,0.791411,12,0.8343558,0.7142857,0.9939024,7.136364,0.006134969,0.006134969,1,1,1,2.144737,0.152439,1,1.047619,0.9939024,0.1329787,1.146341,0.8670213,0,0.2453988,0,0,0,7.136364,1
"PANET",0.9868421,1,1,1,1,1.861702,0.02105263,0.9551451,0.01055409,0.6860158,13,0.04485488,0,1.842105,6.377215,0.005277045,0.01055409,2.035714,4,2,3.301887,0.01315789,0.9894459,0.05263158,1.892105,0.007092199,1.855263,0.9929078,0,0.3641161,0,0.6042216,2.49345,29.9881,4.702381
"PCALION",0.9949749,1,1,1,17.95477,1,0.1356784,1,0,1,10,0,0,0.9974874,5.537102,0,0,1,0,0,3.452174,0.2638191,1,0,0.9949749,0.2091633,1.261307,0.7908367,0,0,0,0,0,5.537102,1
"PDQ",0,0.625,0.625,1,18.9942,3.70308,0.9995542,0.5275052,0,0.1493458,15,0.4724948,1,1.045326,3.373421,0,0,1.033564,0,0,12.20121,8.104399,1,0.8076923,0.3283549,0.8857533,9.149725,0.1142467,0,2.450045,0,0.04265438,2.085366,4.0577,1.202844
"PEAO",0.04090513,1,0.875,1,0.2645779,1.13704,0,0.5865385,0.01923077,0.9903846,11,0.4807692,0.025,1.130113,5.532157,0,0,1.143976,0,0,4.070533,0.1301131,0.9807692,0.9125,0.04395126,0.1032459,1.260226,0.8967541,0,0.009615385,0,0.005659556,2.153846,8.498193,1.536145
"PECO",0.2426729,1,0.5238095,1,1.999218,1.350316,0.0003907776,0.3022065,0,0.1646966,32,0.7174941,0,1.336069,14.31544,0,0.000394011,1.370766,1,0,2.379262,0.001172333,1.000394,0.5,1.325518,0.0008766803,1.337241,0.9991233,0,2.988574,0,0.2881157,2.16825,97.23529,6.792335
"PHENX",0.9981273,1,1,1,0,1.051282,0,1,0,1,4,0,0,0.9981273,2.325052,0,0.003752345,1,2,0,10.45098,0,1,0,0.9475655,0,0.9981273,1,0,0,0,0,0,2.325052,1
"PHIPO",1.032762,0.9548387,0.9096774,1,75.0494,2.032051,0.00453629,0.1252999,0.001599573,0.3319115,25,0.9291045,0.5304878,1.402218,14.38305,0,0.000533049,1.375245,2,0,2.891892,1.893901,1.000533,0.7347561,1.339214,0.5745852,3.81124,0.4254148,0,2.677239,0.1890244,0.2833375,2.398577,120.6727,8.389922
"PINO",0.0261194,1,1,1,0,1.011236,0.01865672,0.9737828,1,1,9,0.02621723,0,1.007463,4.863436,0,0,1.00905,0,0,5.744681,0,0,0,1.011194,0,1.007463,1,0,0,0,0.01872659,2,4.995475,1.027149
"PLANA",1.073059,0.880597,0.7462687,1,66.0468,1.477356,0.02054795,0.01459854,0,0.5413625,13,1.090024,0.6122449,1.377854,6.257098,0.001216545,0.001216545,1.452418,1,1,5.13617,3.666667,1.006083,0.7278912,1.261416,0.7268613,5.044521,0.2731387,0,0.9768856,0.2006803,0.3154286,2.076087,12.37754,1.978159
"PLANP",1.033408,0.6666667,0.5447154,1,93.27007,2.166032,0.005334082,0.006960557,0.001160093,0.2291183,17,1.184691,0.8246154,1.589556,9.836124,0.0005798782,0.001449696,1.590778,5,2,3.09907,2.616508,1.002609,1.003077,1.524424,0.6220798,4.69315,0.3779202,0,2.173963,0.24,0.4310587,2.372638,55.87032,5.680115
"PLANTSO",1.029232,0.9607843,0.9215686,1,33.81774,1.49071,0.002287748,0.8903866,0,0.5737538,37,0.1418764,0.5416667,1.016523,12.39397,0,0,1.018299,0,0,1.926301,0.5330452,1.002034,0.6791667,1.010676,0.3439961,2.021861,0.6560039,0,1.013984,0.2041667,0.01245868,2,19.47147,1.571044
"PO",1.476349,0.7169811,0.5660377,1,24.98609,1.162244,0.000556483,0.001203369,0,0.06498195,13,1.555355,0.469697,1.072343,7.040843,0,0.001203369,1.073725,2,0,3.691571,0.6210351,1,0.7575758,0.9949917,0.3667433,1.693378,0.6332567,0,3.236462,0,0.07293987,2,8.382745,1.190588
"PP",0.3333333,1,0.75,1,0.3333333,1.363636,0,0.25,0.125,0.875,4,0.75,0,1,2.222222,0,0,1.125,0,0,2.142857,1,0.875,0.625,0.3333333,0.5,2,0.5,0,0.125,0,0.07142857,2,2.5,1.125
"PPO",1.185102,0.5757576,0.3333333,1,16.30926,1.414966,0.04063205,0.07239819,0.01131222,0.699095,16,1.269231,0.6504854,1.408578,8.164927,0.004524887,0.01357466,1.346154,6,2,2.174216,2.259594,0.9886878,0.9223301,1.406321,0.616,3.668172,0.384,0,1.298643,0.1262136,0.3280543,2.255172,25.07051,3.070513
"PROCO",0.9436009,0.7191011,0.5617978,1,40.20824,1.180239,0.01843818,0.08686211,0,0.4788274,20,0.9348534,0.5666667,1.178959,9.888192,0,0,1.161736,0,0,2.619277,0.5629067,1.014115,0.6666667,1.177874,0.3231631,1.741866,0.6768369,0,1.663409,0.09333333,0.1574376,2.137931,18.66469,1.887574
"PSIMOD",1.221534,0.96875,0.25,1,4.997618,1.858948,0.0004764173,0,0,0.1430738,11,1.405966,0.1944444,1.751787,5.710251,0.006066734,0.02881699,1.862641,57,12,6.211149,0.07813244,1,0.7777778,1.700333,0.04269721,1.829919,0.9573028,0,3.598079,0,0.5743565,2.321162,17.03981,2.984074
"PTO",1.190048,0.7714286,0.6285714,1,1.998801,1.17575,0.0005995204,0.06058752,0,0.4485924,14,1.221542,0.2222222,1.151079,7.122841,0,0.00122399,1.157666,2,0,3.692308,0.04976019,1,0.3888889,1.130096,0.04143784,1.200839,0.9585622,0,0.999388,0,0.139772,2.085837,9.697735,1.361498
"PTRANS",0.9722222,1,0.4705882,1,0,1.09375,0,0,0,0.90625,8,1,0,0.9722222,4.130435,0,0.15625,1,5,0,2.692308,0,1,0.5294118,0.8611111,0,0.9722222,1,0,0.09375,0,0,0,4.130435,1
"PW",1,1,0.6315789,1,0.999625,1.264202,0.0003749531,0.07142857,0,0.4471884,11,0.9346505,0,1.218223,6.108008,0.001139818,0.001899696,1.190535,5,3,3.062205,0.05136858,1,0.4,1.184477,0.04046072,1.269591,0.9595393,0,0.9433891,0,0.1875469,2.18,11.30324,1.85056
"RDFS",1.5,0.2,0.2,1,4.375,1.166667,0,0.1428571,0.1428571,1,4,0.8571429,0.9,0.875,2.25,0,0,1,0,0,1.75,0.625,0.8571429,0.9,0.625,0.4166667,1.5,0.5833333,0,0,0,0,0,2.25,1
"REGN_BRO",0.004106776,0.6428571,0.5,1,13.19918,1.045929,0.164271,0.9801489,0.00248139,0.9925558,9,0.01985112,0.375,1.028747,4.151376,0,0,1.030769,0,0,5.164948,0.2258727,0.9975186,1.392857,1.008214,0.1800327,1.25462,0.8199673,0,0.007444169,0,0.03497942,2.058824,4.641026,1.117949
"REGN_GO",0.9791634,0.6896552,0.6551724,1,8.999824,1.784466,0,0,0,0.3489179,18,1.055309,0.2686567,1.51126,9.464994,0,0.0001156123,1.43667,5,0,4.792039,0.5807614,1,0.4328358,1.3581,0.2776077,2.092022,0.7223923,0,2.7266,0,0.3576758,2.429314,102.6551,10.84577
"ROS",0.4038462,1,1,1,2,1,0,0.7614458,0.8289157,1,9,0.2746988,0,0.9975962,5.859107,0,0,1,0,0,3.32,0.004807692,0.1710843,0,1,0.004796163,1.002404,0.9952038,0,0,0,0.002409639,2,5.859107,1
"RPO",0.9987055,1,1,1,9.222006,1,0,1,0.001294498,1,7,0,0,0.9993528,3.12599,0,0,1,0,0,9.897436,0.4330097,0.9987055,0,0.9993528,0.3023046,1.432362,0.6976954,0,0,0,0.0006476684,2,3.12599,1
"RS",0.9990539,1,0.5,1,0.9998108,1.342354,0.0001892148,0.9858062,0,0.1727858,11,0.01419379,0,1.3421,5.463808,0,0,1.413503,0,0,4.441453,0.001324503,1,0.5217391,1.346641,0.0009859155,1.343425,0.9990141,0,1.617146,0,0.3111279,2.115572,9.742408,1.78308
"RXNORM",0,0.7142857,0.7142857,1,54.99731,888.2061,0.9999484,1,0,0.7133133,9,0,1,0.9999914,1.002889,0,0,1,0,0,2475.638,16.00038,1,0.9180328,0.001074289,0.9411783,17.00037,0.05882175,0,0.5279759,0,0,0,1.002889,1
"SBO",1.984195,1,1,1,0.9985632,1.076369,0,0.001438849,0,1,11,0.9985612,0,1.073276,6.433526,0.002877698,0.03597122,1.074324,25,2,2.964286,0.002873563,1,0.2,1.070402,0.002670227,1.076149,0.9973298,0,0,0,0.07482014,2,7.52027,1.168919
"SIBO",1.024715,1,0.5384615,1,6.986692,1.397022,0,0.6701245,0,0.939834,6,0.4253112,0,1.070342,2.716446,0,0,1.077393,0,0,16.08571,1.279468,1,0.65,0.8365019,0.5444984,2.34981,0.4555016,0,0.08921162,0,0.07238095,2,2.92668,1.077393
"SIO",1.001262,1,1,1,165.8461,1.022756,0,0.9854798,0,1,14,0.0145202,0.01632653,1.02082,6.846491,0,0,1.016114,0,0,3.05283,0.9205047,1,0.8653061,1.003785,0.4741631,1.941325,0.5258369,0,0,0,0.006313131,2,7.398104,1.080569
"SO",1.102011,0.902439,0.3658537,1,49.98172,1.189619,0,0.00167294,0,0.0572982,15,1.278545,0.6923077,1.039122,6.465107,0,0,1.032661,0,0,4.352221,0.3411335,1,0.8351648,0.9126143,0.2471523,1.380256,0.7528477,0,1.795483,0,0.03840527,2.028571,7.430836,1.149376
"SSE",0.9673469,1,1,1,2.97551,1.938017,5.4,1,0.004201681,1,4,0,0.1428571,0.9918367,2.951327,0,0,1,0,0,12.78947,4.967347,0.9916318,0.2857143,0.9591837,0.8335616,6.881633,0.1664384,0,0,0,0,0,2.951327,1
"SSN",0.5217391,1,1,1,36.34783,2.875,0.04347826,0.0952381,0.0952381,1,3,1.952381,1.384615,1,1.368421,0,0,1.055556,0,0,4.6,4.956522,0.9047619,0.6923077,0.3043478,0.8321168,5.956522,0.1678832,0,0,0,0.04545455,2,1.444444,1.055556
"STATO",1.008999,0.4222222,0.2888889,1,29.21035,1.070946,0.01574803,0.03265766,0,0.8074324,16,0.9831081,0.7931034,1.069741,7.311018,0,0,1.080997,0,0,3.850202,2.033746,1.001126,0.9827586,1.069741,0.6553099,3.103487,0.3446901,0,0.2443694,0.2068966,0.06756757,2.05,8.165109,1.116822
"SYMP",1.006863,1,0.6086957,1,0.9990196,1.142058,0,0.4977629,0,0.8176734,9,0.5391499,0,1.00098,3.682143,0,0.001118568,1.002387,1,0,5.60989,0.0009803922,1,0.4166667,0.877451,0.0009784736,1.001961,0.9990215,0,0.2762864,0,0.001962709,2,3.690931,1.002387
"T4FS",1.053191,0.8648649,0.7567568,1,5.861702,1.003559,0.03191489,0.1035714,0,0.9339286,10,0.9303571,0.5692308,1,6.728051,0.001785714,0.003571429,1.002146,2,1,5.755102,0.4432624,1.001786,0.5846154,0.998227,0.3071253,1.443262,0.6928747,0,0.1,0.1846154,0.001776199,2,6.742489,1.002146
"TAO",1.02105,1,0.3793103,1,27.9917,1.469773,0.000296472,0.4187849,0.0003099814,0.6221327,14,0.6478611,0.1458333,1.037948,5.918715,0.0003099814,0.0003099814,1.034304,1,1,7.188912,0.8031426,0.99969,0.7708333,0.7441447,0.4362319,1.841091,0.5637681,0,0.6419715,0,0.03736655,2.02381,7.341996,1.240471
"TGMA",1.464879,1,0.5,1,3.997855,2.559892,0.000536193,0.001072961,0,0.3782189,8,1.69367,0,1.019839,2.329909,0.0005364807,0.001072961,1.021612,2,1,12.43137,1.048794,1,0.5714286,0.4182306,0.5069984,2.068633,0.4930016,0,2.777897,0,0.01824034,2.117647,2.384346,1.023364
